window_start,packet_count,bytes_per_second,unique_protocols,unique_src_ips,unique_dst_ips,unique_src_ports,unique_dst_ports,avg_packet_size,is_baseline
1742288100,1625,13667.266666666666,0,27,28,68,49,504.63753846153844,True
1742288160,12678,158984.05,0,51,53,166,120,752.409133932797,True
1742288220,3390,37162.11666666667,0,36,34,62,56,657.7365781710914,True
1742288280,2730,22836.666666666668,0,32,32,106,82,501.9047619047619,True
1742288340,702,2291.85,0,30,26,55,51,195.8846153846154,True
1742288400,1400,6609.45,0,35,40,104,87,283.26214285714286,True
1742288460,771,3396.383333333333,0,17,20,52,45,264.3099870298314,True
1742288520,6838,78749.86666666667,0,34,34,145,96,690.9903480549868,True
1742288580,3981,44653.583333333336,0,49,48,143,114,673.0005023863351,True
1742288640,1515,15903.05,0,25,26,61,44,629.8237623762376,True
1742288700,20690,315222.15,0,31,32,139,113,914.1289995166748,True
1742288760,6219,86202.5,0,31,35,121,109,831.6690786300048,True
1742288820,1495,6870.0,0,42,45,85,74,275.7190635451505,True
1742288880,805,3304.133333333333,0,24,24,50,47,246.27080745341615,True
1742288940,1197,3691.8333333333335,0,22,24,73,71,185.05430242272348,True
1742289000,716,4006.1,0,22,21,43,39,335.7067039106145,True
1742289060,861,6172.133333333333,0,28,26,60,52,430.1138211382114,True
1742289120,21122,390354.7833333333,0,51,51,165,117,1108.8574472114383,True
1742289180,7581,81334.43333333333,0,62,63,176,119,643.723255507189,True
1742289240,1646,15965.166666666666,0,24,25,59,50,581.9623329283111,True
1742289300,24824,451017.05,0,34,32,76,62,1090.1153319368352,True
1742289360,1323,5871.633333333333,0,37,38,92,80,266.2872260015117,True
1742289420,1199,4515.25,0,39,44,93,73,225.9507923269391,True
1742289480,623,2484.6833333333334,0,17,16,52,50,239.29534510433388,True
1742289540,281,736.8166666666667,0,16,17,30,30,157.32740213523132,True
1742289600,11659,186726.31666666668,0,30,29,83,73,960.9382451325157,True
1742289660,2356,16928.933333333334,0,29,28,109,101,431.12733446519525,True
1742289720,1709,18577.633333333335,0,20,22,47,40,652.2282036278525,True
1742289780,3419,36252.13333333333,0,33,31,85,68,636.1883591693478,True
1742289840,1925,15013.15,0,31,31,63,60,467.94233766233765,True
